,columns,feat_imp
0,P_2,0.2128573
1,D_39,0.0059328764
2,B_1,0.08558122
3,B_2,0.014620722
4,R_1,0.021247014
5,S_3,0.014872054
6,D_41,0.008593053
7,B_3,0.026038596
8,D_42,0.020411212
9,D_43,0.008657242
10,D_44,0.021058103
11,B_4,0.008189132
12,D_45,0.01428562
13,B_5,0.0071037756
14,R_2,0.00029777552
15,D_46,0.0077120727
16,D_47,0.002379486
17,D_48,0.016208015
18,D_49,0.0073521235
19,B_6,0.0055085025
20,B_7,0.010827597
21,B_8,0.0006529867
22,D_50,0.004724185
23,D_51,0.036732443
24,B_9,0.043712746
25,R_3,0.013703288
26,D_52,0.0025323615
27,P_3,0.006278053
28,B_10,0.0013789228
29,D_53,0.0021843652
30,S_5,0.0040831515
31,B_11,0.0062648933
32,S_6,0.0022347486
33,D_54,0.0032365855
34,R_4,0.0
35,S_7,0.00344919
36,B_12,0.0019276555
37,S_8,0.00097136415
38,D_55,0.0014729444
39,D_56,0.004104977
40,B_13,0.0013346666
41,R_5,0.002461191
42,D_58,0.0012694368
43,S_9,0.00235942
44,B_14,0.00165616
45,D_59,0.0017457185
46,D_60,0.0016681035
47,D_61,0.0031708675
48,B_15,0.0017465388
49,S_11,0.002086679
50,D_62,0.003965774
51,D_65,0.0008024291
52,B_16,0.0018293558
53,B_17,0.0038058888
54,B_18,0.012167964
55,B_19,0.0022135628
56,D_66,0.011151719
57,B_20,0.0028788676
58,D_68,0.00063217035
59,S_12,0.0027591747
60,R_6,0.0003253044
61,S_13,0.0010715937
62,B_21,0.0019773627
63,D_69,0.0013625319
64,B_22,0.002584231
65,D_70,0.0035448584
66,D_71,0.001280417
67,D_72,0.0017294439
68,S_15,0.00646934
69,B_23,0.0010156573
70,D_73,0.0025181228
71,P_4,0.0011792472
72,D_74,0.0014978568
73,D_75,0.020139381
74,D_76,0.0025570183
75,B_24,0.002253095
76,R_7,0.00034506107
77,D_77,0.008109731
78,B_25,0.0010875264
79,B_26,0.0013639479
80,D_78,0.000539599
81,D_79,0.0017218099
82,R_8,0.0009889206
83,R_9,0.0011663946
84,S_16,0.0008276009
85,D_80,0.0011507034
86,R_10,0.0007764238
87,R_11,0.004131594
88,B_27,0.00026954454
89,D_81,0.0011430215
90,D_82,0.0019487077
91,S_17,0.0009551063
92,R_12,0.0023467697
93,B_28,0.0016170138
94,R_13,0.0
95,D_83,0.00085920567
96,R_14,0.00057565403
97,R_15,0.0006532877
98,D_84,0.00069997355
99,R_16,0.0005496779
100,B_29,0.0036278793
101,B_30,0.001975447
102,S_18,0.0017039818
103,D_86,0.0015934748
104,D_87,0.0
105,R_17,0.00021759041
106,R_18,0.00029340896
107,D_88,0.0012252628
108,B_31,0.0
109,S_19,0.0018224891
110,R_19,0.0007402417
111,B_32,0.00098508
112,S_20,0.0006983586
113,R_20,0.00091620994
114,R_21,0.00054336584
115,B_33,0.00037758023
116,D_89,0.0002873722
117,R_22,0.0003877681
118,R_23,0.00083252706
119,D_91,0.003499663
120,D_92,0.0008425628
121,D_93,0.0013386628
122,D_94,0.00065657723
123,R_24,0.00037475888
124,R_25,4.1692987e-05
125,D_96,0.0010329605
126,S_22,0.0029080492
127,S_23,0.0088929385
128,S_24,0.004636974
129,S_25,0.0013004862
130,S_26,0.004189209
131,D_102,0.00086809974
132,D_103,0.00041375498
133,D_104,0.00094480393
134,D_105,0.0011609481
135,D_106,0.001076929
136,D_107,0.0010685977
137,B_36,0.002860987
138,B_37,0.0038664662
139,R_26,0.0030626827
140,R_27,0.015891414
141,B_38,0.015112566
142,D_108,0.0012377658
143,D_109,0.0006247989
144,D_110,0.0017109577
145,D_111,0.002986851
146,B_39,0.007136366
147,D_112,0.009273185
148,B_40,0.0017654587
149,S_27,0.0009167511
150,D_113,0.00096431863
151,D_114,0.0030576407
152,D_115,0.0011273953
153,D_116,0.0012319708
154,D_117,0.002481682
155,D_118,0.0023430376
156,D_119,0.001772609
157,D_120,0.001294086
158,D_121,0.0019409287
159,D_122,0.0012902375
160,D_123,0.00044384453
161,D_124,0.0012828751
162,D_125,0.0006410879
163,D_126,0.0011902312
164,D_127,0.001312719
165,D_128,0.0030159259
166,D_129,0.0012725638
167,B_41,0.00091048045
168,B_42,0.002181009
169,D_130,0.0016009815
170,D_131,0.0042514424
171,D_132,0.0066822763
172,D_133,0.0022797466
173,R_28,0.00049668126
174,D_134,0.0014855337
175,D_135,0.0007229681
176,D_136,0.0008138554
177,D_137,7.374559e-05
178,D_138,0.0013672601
179,D_139,0.00028686493
180,D_140,0.003285309
181,D_141,0.0016673186
182,D_142,0.0017519093
183,D_143,0.00046646362
184,D_144,0.0015623287
185,D_145,0.0012579784
186,D_63_CO,0.0049224333
187,D_63_CR,0.0012876594
188,D_63_XL,0.0
189,D_63_XM,0.0010941295
190,D_63_XZ,0.0
191,D_64_O,0.0044927243
192,D_64_R,0.0014836901
193,D_64_U,0.0005733953
