hd,nodes,activation,dropout,batch_size,auc_train,auc_test1,auc_test2
4,4,relu,0.5,100,0.9096660269601151,0.8923466145449833,0.9283314385570106
4,4,relu,0.5,10000,0.8351258893473429,0.8008871604729608,0.872604658858414
4,4,relu,0,100,0.929760776331579,0.9180829771880505,0.9395617434301106
4,4,relu,0,10000,0.9089876218002195,0.8997046458465594,0.9123856178261958
4,4,tanh,0.5,100,0.9254555036623572,0.9147575793193232,0.9367070340355343
4,4,tanh,0.5,10000,0.9235729778831616,0.9117674304578727,0.9358128408750933
4,4,tanh,0,100,0.9298061138862268,0.918672902975951,0.9399345062564232
4,4,tanh,0,10000,0.9244609157197504,0.9137152693644902,0.9345920318648298
4,6,relu,0.5,100,0.9247859423229898,0.9129054598864937,0.9367438940930136
4,6,relu,0.5,10000,0.8900936225695062,0.8862535973898056,0.8854489362580975
4,6,relu,0,100,0.93269417103594,0.9234483168025608,0.9393202285406246
4,6,relu,0,10000,0.9271291481912491,0.9159363180844711,0.9374705592372444
4,6,tanh,0.5,100,0.9252054470979538,0.9147590709591349,0.9367369299309645
4,6,tanh,0.5,10000,0.9235128343610557,0.911846016791046,0.9358203429786784
4,6,tanh,0,100,0.9320971441040165,0.9222933051730678,0.9393931417432786
4,6,tanh,0,10000,0.9249625140761246,0.914221216422914,0.9356508844413739
